run_accession	accession	sample_accession	study_accession	collection_date	collection_date_submitted	country	first_created	instrument_platform	instrument_model	tax_id	strain	fastq_bytes	fastq_ftp	fastq_md5
DRR312008	SAMD00393674	SAMD00393674	PRJDB12037				2021-08-25	ILLUMINA	Illumina NovaSeq 6000	11128	BCoV-GF2020	235611478;252867088	ftp.sra.ebi.ac.uk/vol1/fastq/DRR312/DRR312008/DRR312008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR312/DRR312008/DRR312008_2.fastq.gz	a0ad5e7025bada40463f68e66add4dd4;3287ec191d4a322b8853c0749b0ed4d1
ERR1360080	SAMEA3931205	SAMEA3931205	PRJEB13360				2016-04-15	ILLUMINA	Illumina HiSeq 2500	277944	UT_E328	1277132095;1268573952	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/000/ERR1360080/ERR1360080_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/000/ERR1360080/ERR1360080_2.fastq.gz	9ee081211755d26e9a41604fd590c915;d14d7a45f7b3960e43e41799f76ede90
ERR1360081	SAMEA3931206	SAMEA3931206	PRJEB13360				2016-04-15	ILLUMINA	Illumina HiSeq 2500	31631	UT_E21	697005000;691759292	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/001/ERR1360081/ERR1360081_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/001/ERR1360081/ERR1360081_2.fastq.gz	6a5937bdfbf4cad9d196dd342453269d;3634a0a13cc75762d0bfd0c8eccb2090
ERR1399348	SAMEA3931205	SAMEA3931205	PRJEB13360				2016-05-05	ILLUMINA	Illumina HiSeq 2500	277944	UT_E328	536764259;533247006	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/008/ERR1399348/ERR1399348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/008/ERR1399348/ERR1399348_2.fastq.gz	32b45603e4e6d4ace1cef60832fda2d7;f719d10d9d7044c07ca35de33442b1ac
ERR1399349	SAMEA3931206	SAMEA3931206	PRJEB13360				2016-05-05	ILLUMINA	Illumina HiSeq 2500	31631	UT_E21	393686134;390323874	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/009/ERR1399349/ERR1399349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/009/ERR1399349/ERR1399349_2.fastq.gz	5fbcca2b5ab937969985250d43a50e62;609ecdfabf273a5f9e225fa468538246
ERR1424897	SAMEA3931204	SAMEA3931204	PRJEB13360				2016-05-25	ILLUMINA	Illumina HiSeq 2500	290028	UT_E45	253794050;251939939	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1424897/ERR1424897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1424897/ERR1424897_2.fastq.gz	f0ebac1198c9121d4f70708e0110f769;a174a359f3a4e0292ddb6515f1f05c96
ERR1873678	SAMEA51861418	SAMEA51861418	PRJEB12890				2017-03-07	ILLUMINA	Illumina MiSeq	11137	0310051v	86471830;87485971	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/008/ERR1873678/ERR1873678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/008/ERR1873678/ERR1873678_2.fastq.gz	137f18eebf7a4820f2598181a6978019;605bd1f17c7a3a78514d00b9bd4ea7c1
ERR233408	SAMEA1710021	SAMEA1710021	PRJEB2822				2013-02-28	ILLUMINA	Illumina MiSeq	694002		404638873;417446071	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233408/ERR233408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233408/ERR233408_2.fastq.gz	7ee20a846b75d40d4945b0270a43e080;63d19a34a10b333b7d0d1c14cd5cc2ec
ERR233409	SAMEA1710009	SAMEA1710009	PRJEB2822				2013-02-28	ILLUMINA	Illumina MiSeq	694002		422026927;447041744	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233409/ERR233409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233409/ERR233409_2.fastq.gz	deb28d3f8d00c30751edd5568710a2bd;7fda039b9438f9dd8c68c163621fd328
ERR233410	SAMEA1710030	SAMEA1710030	PRJEB2822				2013-02-28	ILLUMINA	Illumina MiSeq	694002		457928979;506830595	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233410/ERR233410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233410/ERR233410_2.fastq.gz	50b86a302355f7fe8ac6318978721000;4ee5c5d177d588f69be367827f28d99e
