run_accession	sample_accession	instrument_platform	instrument_model	fastq_aspera	fastq_bytes	fastq_ftp	fastq_galaxy	fastq_md5	first_created	first_public	country	collection_date	isolate	strain
SRR17054808	SAMN23287060	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/008/SRR17054808/SRR17054808_1.fastq.gz	29863999	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/008/SRR17054808/SRR17054808_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/008/SRR17054808/SRR17054808_1.fastq.gz	8e098cab9d0f97d3127de99d2daf13b3	2021-11-29	2021-11-29	USA: Colorado	2021-10-15	CO-CDPHE-2101997762	
SRR17054807	SAMN23287061	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/007/SRR17054807/SRR17054807_1.fastq.gz	50592037	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/007/SRR17054807/SRR17054807_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/007/SRR17054807/SRR17054807_1.fastq.gz	69709ea50aff51961a8aa2ac123ec9ae	2021-11-29	2021-11-29	USA: Colorado	2021-10-14	CO-CDPHE-2101997609	
SRR17054806	SAMN23287062	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/006/SRR17054806/SRR17054806_1.fastq.gz	15794711	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/006/SRR17054806/SRR17054806_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/006/SRR17054806/SRR17054806_1.fastq.gz	bd99171227a55dd57271e30ef6e4e829	2021-11-29	2021-11-29	USA: Colorado	2021-10-15	CO-CDPHE-2101997628	
SRR17054805	SAMN23287063	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/005/SRR17054805/SRR17054805_1.fastq.gz	22248574	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/005/SRR17054805/SRR17054805_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/005/SRR17054805/SRR17054805_1.fastq.gz	b44e0d8c1f038c8823c2161e088b152b	2021-11-29	2021-11-29	USA: Colorado	2021-10-07	CO-CDPHE-2101998158	
SRR17054804	SAMN23287064	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/004/SRR17054804/SRR17054804_1.fastq.gz	55093148	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/004/SRR17054804/SRR17054804_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/004/SRR17054804/SRR17054804_1.fastq.gz	e6e8070e4e90922ae7e1e1e8e1dd7c35	2021-11-29	2021-11-29	USA: Colorado	2021-10-15	CO-CDPHE-2101997669	
SRR17054803	SAMN23287065	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/003/SRR17054803/SRR17054803_1.fastq.gz	41666149	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/003/SRR17054803/SRR17054803_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/003/SRR17054803/SRR17054803_1.fastq.gz	89f422809db76e19b3c79db868a7b068	2021-11-29	2021-11-29	USA: Colorado	2021-10-13	CO-CDPHE-2101966832	
SRR17054802	SAMN23287066	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/002/SRR17054802/SRR17054802_1.fastq.gz	53331385	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/002/SRR17054802/SRR17054802_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/002/SRR17054802/SRR17054802_1.fastq.gz	5bd214d8c97ea71a303a87cb755047f6	2021-11-29	2021-11-29	USA: Colorado	2021-10-06	CO-CDPHE-2101913859	
SRR17054801	SAMN23287067	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/001/SRR17054801/SRR17054801_1.fastq.gz	44021181	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/001/SRR17054801/SRR17054801_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/001/SRR17054801/SRR17054801_1.fastq.gz	cefc447ef49a89d457fefb84c1fb608a	2021-11-29	2021-11-29	USA: Colorado	2021-10-08	CO-CDPHE-2101997982	
SRR17054800	SAMN23287050	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/000/SRR17054800/SRR17054800_1.fastq.gz	34512340	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/000/SRR17054800/SRR17054800_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/000/SRR17054800/SRR17054800_1.fastq.gz	6697d1fee0f19687fb95cdaef3612eaf	2021-11-29	2021-11-29	USA: Colorado	2021-10-11	CO-CDPHE-2101997919	
SRR17054799	SAMN23287068	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/099/SRR17054799/SRR17054799_1.fastq.gz	31608853	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/099/SRR17054799/SRR17054799_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/099/SRR17054799/SRR17054799_1.fastq.gz	f3c360a78bb094447e2924de36a9965f	2021-11-29	2021-11-29	USA: Colorado	2021-10-06	CO-CDPHE-2101914034	
